"id","taxon_group","language_iso","kingdom_taxon","kingdom_taxa_taxon_list_id","order_taxon","order_taxa_taxon_list_id","family_taxon","family_taxa_taxon_list_id","parent_id","taxonomic_sort_order","taxon","authority","taxon_rank","taxon_rank_sort_order","preferred","preferred_taxon","preferred_authority","default_common_name","freshwater_flag","non_native_flag"
402333,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Autostichidae",34237,114583,NULL,"Oegoconia deauratella","sensu Agassiz, 1980 ♀ genitalia nec (Herrich-Schäffer, 1854)","Species",300,False,"Oegoconia quadripuncta","(Haworth, 1828)","Four-spotted Obscure",False,False
122717,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Autostichidae",34237,114583,NULL,"Oegoconia quadripuncta","(Haworth, 1828)","Species",300,True,"Oegoconia quadripuncta","(Haworth, 1828)","Four-spotted Obscure",False,False
122718,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Autostichidae",34237,114583,NULL,"Oegoconia quadripuncta","Haworth","Species",300,False,"Oegoconia quadripuncta","(Haworth, 1828)","Four-spotted Obscure",False,False
49848,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tineidae",179979,256403,NULL,"Oinophila v-flava","Haworth","Species",300,False,"Oinophila v-flava","(Haworth, 1828)","Yellow V Moth",False,False
49847,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tineidae",179979,256403,NULL,"Oinophila v-flava","(Haworth, 1828)","Species",300,True,"Oinophila v-flava","(Haworth, 1828)","Yellow V Moth",False,False
32291,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,188014,NULL,"Olethreutes arcuella","Clerck","Species",300,False,"Olethreutes arcuella","(Clerck, 1759)","Arched Marble",False,False
32290,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,188014,NULL,"Olethreutes arcuella","(Clerck, 1759)","Species",300,True,"Olethreutes arcuella","(Clerck, 1759)","Arched Marble",False,False
83562,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,246802,NULL,"Olindia schumacherana","(Fabricius, 1787)","Species",300,True,"Olindia schumacherana","(Fabricius, 1787)","White-barred Twist",False,False
412133,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,246802,NULL,"Olindia ulmana","(Hübner, [1823])","Species",300,False,"Olindia schumacherana","(Fabricius, 1787)","White-barred Twist",False,False
86204,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Pyralidae",111775,236695,NULL,"Oncocera semirubella","(Scopoli, 1763)","Species",300,True,"Oncocera semirubella","(Scopoli, 1763)","Rosy-striped Knot-horn",False,False
416449,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Pyralidae",111775,236695,NULL,"Oncocera carnella","(Linnaeus, 1767)","Species",300,False,"Oncocera semirubella","(Scopoli, 1763)","Rosy-striped Knot-horn",False,False
163732,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tineidae",179979,81607,NULL,"Hieroxestis praematura","Meyrick, 1909","Species",300,False,"Opogona omoscopa","(Meyrick, 1893)",NULL,False,False
163731,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tineidae",179979,81607,NULL,"Opogona omoscopa","(Meyrick, 1893)","Species",300,True,"Opogona omoscopa","(Meyrick, 1893)",NULL,False,False
