,SP NO.,superfamily,family,subfamily,val genus,name,FULL NAME
0,010001,Micropterigoidea,Micropterigidae,[Micropteriginae],Epimartyria,auricrinella,Epimartyria auricrinella Walsingham
1,070001,Eriocranioidea,Eriocraniidae,[Eriocraniinae],Dyseriocrania,griseocapitella,Dyseriocrania griseocapitella (Walsingham)
2,070003,Eriocranioidea,Eriocraniidae,[Eriocraniinae],Eriocrania,semipurpurella,Eriocrania semipurpurella (Stephens)
4,110001,Hepialoidea,Hepialidae,[Hepialinae],Gazoryctra,hyperboreus,Gazoryctra hyperboreus (Möschler)
5,110008,Hepialoidea,Hepialidae,[Hepialinae],Gazoryctra,novigannus,Gazoryctra novigannus (Barnes & Benjamin)
6,110011,Hepialoidea,Hepialidae,[Hepialinae],Korscheltellus,gracilis,Korscheltellus gracilis (Grote)
7,110016,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,argenteomaculatus,Sthenopis argenteomaculatus (Harris)
8,110017,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,purpurascens,Sthenopis purpurascens (Packard)
9,110018,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,thule,Sthenopis thule (Strecker)
10,110019,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,pretiosus,Sthenopis pretiosus (Herrich-Schäffer)
11,160007,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,intermedia,Stigmella intermedia (Braun)
12,160008,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,prunifoliella,Stigmella prunifoliella (Clemens)
13,160009,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,rhoifoliella,Stigmella rhoifoliella (Braun)
14,160013,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,macrocarpae,Stigmella macrocarpae (Freeman)
15,160014,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,nigriverticella,Stigmella nigriverticella (Chambers)
16,160015,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,saginella,Stigmella saginella (Clemens)
17,160017,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,betulicola,Stigmella betulicola (Stainton)
18,160018,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,microtheriella,Stigmella microtheriella (Stainton)
